postal_code,postal_code_score
1342,379500.0
1348,379500.0
1350,379500.0
1357,379500.0
1360,379500.0
1367,379500.0
1370,379500.0
2018,390000.0
8200,395000.0
8020,395000.0
1501,395000.0
1502,395000.0
1547,395000.0
1541,395000.0
8210,395000.0
1560,395000.0
1540,395000.0
8211,395000.0
1910,395000.0
8310,395000.0
8340,395000.0
8377,395000.0
8380,395000.0
8490,395000.0
8730,395000.0
1570,395000.0
1420,395000.0
8820,395000.0
8301,395000.0
1930,395000.0
1600,395000.0
1750,395000.0
1601,395000.0
1755,395000.0
1760,395000.0
3090,395000.0
1982,395000.0
1981,395000.0
1980,395000.0
1970,395000.0
1950,395000.0
1933,395000.0
1932,395000.0
1761,395000.0
1745,395000.0
1770,395000.0
1785,395000.0
1790,395000.0
1820,395000.0
1831,395000.0
1840,395000.0
1850,395000.0
1851,395000.0
1852,395000.0
1853,395000.0
1860,395000.0
1861,395000.0
1880,395000.0
1780,395000.0
1742,395000.0
1830,395000.0
1740,395000.0
1630,395000.0
1640,395000.0
1650,395000.0
1651,395000.0
1741,395000.0
1652,395000.0
1653,395000.0
1654,395000.0
1671,395000.0
1670,395000.0
1602,395000.0
1674,395000.0
1700,395000.0
1701,395000.0
1702,395000.0
1703,395000.0
1730,395000.0
1731,395000.0
1673,395000.0
1620,395000.0
2950,396500.0
9000,398500.0
1000,406000.0
1040,424900.0
1200,440000.0
2930,450000.0
2000,490000.0
1050,550000.0
1150,595000.0
1410,599000.0
1180,619000.0
8300,895000.0
